id,predicition
1,0.09874794
2,0.10798237
3,0.11569747
4,0.124381006
5,0.13313127
6,0.14347425
7,0.15356189
8,0.16095462
9,0.16922477
10,0.17618164
11,0.18340072
12,0.1917381
13,0.09748533
14,0.10425016
15,0.11374733
16,0.12302679
17,0.1304313
18,0.13802338
19,0.14846578
20,0.1579498
21,0.16724494
22,0.1751723
23,0.18265241
24,0.18915316
25,0.09331274
26,0.10218802
27,0.10908976
28,0.115841806
29,0.122942686
30,0.12799841
31,0.1357769
32,0.14485872
33,0.15511322
34,0.16419768
35,0.1733914
36,0.1816153
37,0.08827087
38,0.09853655
39,0.10790637
40,0.11762944
41,0.12452537
42,0.1328255
43,0.14017114
44,0.14829701
45,0.1560595
46,0.16272199
47,0.17041942
48,0.17712244
49,0.08351728
50,0.09130606
51,0.10065168
52,0.10917568
53,0.1174663
54,0.12499729
55,0.13380134
56,0.14262298
57,0.150437
58,0.1586999
59,0.16901788
60,0.17660138
61,0.081932485
62,0.08869353
63,0.09692526
64,0.10449043
65,0.112674356
66,0.12055454
67,0.13067064
68,0.14035958
69,0.14974636
70,0.1627016
71,0.17866296
72,0.19835329
73,0.12112197
74,0.15565032
75,0.19851333
76,0.25586984
77,0.29311907
78,0.3471693
79,0.43707773
80,0.54256856
81,0.6876489
82,0.80507386
83,0.933324
84,1.0746056
85,1.1252133
86,1.2694042
87,1.4075882
88,1.5345134
89,1.6803435
90,1.8264316
91,1.9654846
92,2.0455816
93,2.123264
94,2.2663212
95,2.3979166
96,2.5302978
97,2.5690222
98,2.7042146
99,2.8358514
100,2.938756
101,3.069485
102,3.2046647
103,3.314737
104,3.426137
105,3.5467794
106,3.7564063
107,3.8939397
108,4.028514
109,4.0562353
110,4.176515
111,4.2796683
112,4.3627405
113,4.4259863
114,4.5378723
115,4.672463
116,4.827648
117,4.9048204
118,4.9468613
119,5.002684
120,5.088636
121,5.092133
122,5.2179413
123,5.3828263
124,5.512855
125,5.6177683
126,5.6983304
127,5.7627506
128,5.8231134
129,5.8832273
130,5.9465528
131,6.0232344
132,6.142402
133,6.179173
134,6.2789407
135,6.3346634
136,6.3929825
137,6.394116
138,6.4235935
139,6.4741797
140,6.4445744
141,6.4438877
142,6.493876
143,6.514518
144,6.5222354
145,6.4243565
146,6.4272456
147,6.5310636
148,6.6516557
149,6.653133
150,6.7612295
151,6.858053
152,6.8612537
153,6.787102
154,6.792929
155,6.8606114
156,6.8648825
157,6.735582
158,6.7258034
159,6.686148
160,6.674208
161,6.478451
162,6.3455305
163,6.4720516
164,6.5666227
165,5.941063
166,6.309692
167,6.5115356
168,6.4481416
169,6.300866
170,6.228744
171,6.0852385
172,5.987647
173,5.9074073
174,5.7806807
175,5.5317574
176,5.3831444
177,5.6707253
178,5.613626
179,5.541048
180,5.31908
181,5.0720835
182,4.90821
183,4.9158626
184,5.249776
185,4.683227
186,4.5554047
187,4.941375
188,4.6231165
189,4.83765
190,3.9157836
191,3.6805842
192,3.7441635
193,3.837832
194,4.047597
195,4.222048
196,4.14958
197,3.8559442
198,3.609035
199,2.9765875
200,2.6894302
201,2.8589468
202,3.4207628
203,3.406379
204,2.995384
205,3.18622
206,2.939609
207,1.9675906
208,1.9922273
209,1.4494787
210,1.600594
211,1.656248
212,1.6729314
213,1.729061
214,1.9126507
215,1.898311
216,1.4053913
217,1.2969482
218,1.1908035
219,0.9110398
220,0.8565501
221,0.7466012
222,0.7520726
223,0.6859169
224,0.6639085
225,0.7000035
226,0.6926055
227,0.6100831
228,0.55740666
229,0.42990455
230,0.42072788
231,0.40833315
232,0.36136225
233,0.30942684
234,0.26557505
235,0.25322816
236,0.24204676
237,0.23298323
238,0.23412934
239,0.2412387
240,0.24880376
241,0.1527251
242,0.15986273
243,0.16663145
244,0.17552169
245,0.18375859
246,0.1916127
247,0.2001705
248,0.20894238
249,0.21803017
250,0.22531947
251,0.23546669
252,0.24476928
253,0.14969322
254,0.15753686
255,0.16380015
256,0.17092595
257,0.17993586
258,0.18871638
259,0.1960349
260,0.20571871
261,0.21612328
262,0.22341666
263,0.23243721
264,0.24154331
265,0.145583
266,0.15697342
267,0.16466065
268,0.17229113
269,0.18094629
270,0.19012143
271,0.1980294
272,0.2079106
273,0.21444859
274,0.22459473
275,0.23256847
276,0.23968008
277,0.14552522
278,0.15468976
279,0.16421315
280,0.17321646
281,0.18222839
282,0.18993284
283,0.19829738
284,0.20593861
285,0.21311048
286,0.22337972
287,0.22989047
288,0.23826891
289,0.11440024
290,0.12268999
291,0.13089842
292,0.14115283
293,0.14953443
294,0.15820235
295,0.16568097
296,0.17235866
297,0.18053195
298,0.18821323
299,0.19612345
300,0.20585331
301,0.11375764
302,0.12448263
303,0.13154188
304,0.13824844
305,0.14751223
306,0.15745044
307,0.16728643
308,0.1781612
309,0.18864787
310,0.19644478
311,0.20474091
312,0.2131007
313,0.1161291
314,0.12041685
315,0.12796605
316,0.13744262
317,0.14635682
318,0.15708816
319,0.166655
320,0.17584905
321,0.18488768
322,0.19004342
323,0.19724628
324,0.20437995
325,0.109236985
326,0.116052926
327,0.12376019
328,0.12940145
329,0.13701805
330,0.14438215
331,0.15257266
332,0.16058412
333,0.16893047
334,0.17876583
335,0.18895999
336,0.19914353
337,0.106056064
338,0.11505258
339,0.123832464
340,0.13455516
341,0.1428377
342,0.15039876
343,0.15806305
344,0.16810942
345,0.17756808
346,0.18506464
347,0.19423765
348,0.20045835
349,0.10469049
350,0.11293349
351,0.12187353
352,0.13069326
353,0.138657
354,0.14716229
355,0.15428078
356,0.1624935
357,0.17273146
358,0.18161762
359,0.19871801
360,0.22076774
361,0.14804831
362,0.18339336
363,0.22716498
364,0.29036012
365,0.3286236
366,0.37953442
367,0.44832003
368,0.5497575
369,0.7019659
370,0.8118447
371,0.9406892
372,1.0658864
373,1.10482
374,1.2533271
375,1.3788788
376,1.5090154
377,1.6566488
378,1.7945935
379,1.9412559
380,2.0334718
381,2.1233351
382,2.2773645
383,2.4101045
384,2.5397768
385,2.5963068
386,2.7252014
387,2.8392072
388,2.9678159
389,3.100696
390,3.2161372
391,3.327768
392,3.4304683
393,3.5390348
394,3.7353218
395,3.9348123
396,4.0604506
397,4.0903983
398,4.219982
399,4.3212295
400,4.41387
401,4.511501
402,4.6334195
403,4.767455
404,4.907646
405,5.013684
406,5.059332
407,5.096739
408,5.1522074
409,5.1693406
410,5.302118
411,5.4448323
412,5.5569434
413,5.6542106
414,5.7463226
415,5.825635
416,5.9049907
417,5.953371
418,6.024938
419,6.113203
420,6.2252975
421,6.2614098
422,6.349302
423,6.4074407
424,6.4878774
425,6.504521
426,6.535588
427,6.5464907
428,6.515798
429,6.5400567
430,6.591522
431,6.6227255
432,6.60135
433,6.4704075
434,6.497443
435,6.6033664
436,6.689697
437,6.7458315
438,6.8335047
439,6.9264936
440,6.962208
441,6.9187355
442,6.8946548
443,6.8547873
444,6.7870626
445,6.704194
446,6.75314
447,6.742855
448,6.8005447
449,6.7279897
450,6.7527347
451,6.6680655
452,6.575288
453,6.540805
454,6.4934106
455,6.4857125
456,6.455939
457,6.2471313
458,6.1908464
459,6.146614
460,6.0529056
461,5.9483013
462,5.8230004
463,5.7746983
464,5.7112246
465,5.6930447
466,5.578008
467,5.513359
468,5.4116335
469,5.2864404
470,5.2736535
471,5.2111964
472,5.102484
473,5.0139446
474,4.9079194
475,4.844771
476,4.764967
477,4.738199
478,4.6734376
479,4.6112857
480,4.4714704
481,4.3554125
482,4.2246413
483,4.142046
484,4.106811
485,4.0549726
486,3.9931006
487,3.9044628
488,3.7561479
489,3.6248317
490,3.4985652
491,3.3510132
492,3.2552943
493,3.02392
494,2.8801486
495,2.7617438
496,2.6170712
497,2.4828176
498,2.397709
499,2.2862396
500,2.1903198
501,2.0977404
502,2.0004177
503,1.888446
504,1.7446488
505,1.5201576
506,1.4125012
507,1.3263155
508,1.2359806
509,1.1320362
510,1.0360645
511,0.92997086
512,0.8516766
513,0.7615411
514,0.67170024
515,0.632918
516,0.59712636
517,0.44552222
518,0.4031751
519,0.3607504
520,0.32083172
521,0.28632092
522,0.26048827
523,0.24777117
524,0.24398199
525,0.24793282
526,0.24991843
527,0.25541478
528,0.26121527
529,0.16249257
530,0.17113209
531,0.17859301
532,0.1892824
533,0.19682959
534,0.20483127
535,0.21438506
536,0.22034581
537,0.22827144
538,0.24124894
539,0.25179088
540,0.26368743
541,0.16985747
542,0.18011343
543,0.18660063
544,0.19417876
545,0.19724077
546,0.19962397
547,0.20821625
548,0.21541238
549,0.22312355
550,0.23128766
551,0.23709619
552,0.24446848
553,0.15068322
554,0.15903875
555,0.16779399
556,0.17234555
557,0.17765275
558,0.18668675
559,0.197366
560,0.20526618
561,0.21596688
562,0.222487
563,0.22814292
564,0.23634094
565,0.14321934
566,0.15165028
567,0.1593945
568,0.16856813
569,0.17615286
570,0.18357301
571,0.19061336
572,0.19991131
573,0.20880032
574,0.21701244
575,0.22476554
576,0.23308031
577,0.106454104
578,0.11414063
579,0.12488744
580,0.13630623
581,0.14649525
582,0.15549481
583,0.16454095
584,0.17449924
585,0.18394211
586,0.19256303
587,0.20286977
588,0.21171826
589,0.1167787
590,0.12805772
591,0.13768867
592,0.14711413
593,0.15380391
594,0.16163844
595,0.16844529
596,0.17596653
597,0.18335825
598,0.19084248
599,0.19768137
600,0.20585474
601,0.11071834
602,0.1216425
603,0.130671
604,0.13885266
605,0.14796156
606,0.15605235
607,0.1629017
608,0.1704798
609,0.17945966
610,0.18863425
611,0.19876191
612,0.20945397
613,0.11709672
614,0.12648213
615,0.13590196
616,0.14504054
617,0.15577134
618,0.16520452
619,0.17416
620,0.1807102
621,0.18981186
622,0.19957834
623,0.20898229
624,0.21768248
625,0.12347573
626,0.13326877
627,0.143581
628,0.15221271
629,0.15982455
630,0.16836083
631,0.17990914
632,0.18834844
633,0.19927323
634,0.20555642
635,0.2173923
636,0.2285516
637,0.13389832
638,0.14214927
639,0.15021107
640,0.15675771
641,0.16507176
642,0.1731543
643,0.17955917
644,0.19018078
645,0.1974794
646,0.20995441
647,0.22425234
648,0.24362728
649,0.17446458
650,0.21810874
651,0.26532826
652,0.31956163
653,0.36524242
