Model,RunTime(s),MSE,RMSE,MAE
LSTM,14.7940478,52711.9609375,229.59085083007812,140.16648864746094
LSTMsigmoid,13.703127500000008,52837.3984375,229.86387634277344,143.4261932373047
LSTMrelu,13.6912172,81416.4453125,285.3356628417969,171.93270874023438
LSTMRMSprop,13.351032199999992,53266.58984375,230.79556274414062,139.24192810058594
LSTM256,16.715333299999998,50660.43359375,225.07872009277344,139.56973266601562
LSTM64,13.60753729999999,51627.984375,227.21792602539062,138.66952514648438
LSTM32,14.214997400000016,52705.30859375,229.5763702392578,141.33566284179688
LSTM 2,22.538130699999982,55154.6484375,234.8502655029297,142.3727264404297
LSTM 3,31.77833449999997,62118.078125,249.2349853515625,150.87823486328125
