Model,RunTime(s),MSE,RMSE,MAE
DNN,11.0482338,64994.45703125,254.9401092529297,158.35304260253906
CNN,14.968954100000001,62862.375,250.7237091064453,152.7895965576172
LSTM,15.280956099999997,51802.4296875,227.60147094726562,139.28367614746094
CNN-LSTM,17.883574600000003,52506.27734375,229.14248657226562,139.5363006591797
RNN,12.793596800000003,53382.44140625,231.04640197753906,144.4846649169922
GRU,17.17262679999999,52883.83203125,229.96484375,140.14120483398438
