Model,RunTime(s),MSE,RMSE,MAE
DNN,14.6429384,64184.41015625,253.34642028808594,156.51512145996094
CNN,20.317307200000002,53790.72265625,231.9282684326172,144.33409118652344
LSTM,19.7994761,51240.328125,226.36326599121094,139.64312744140625
CNN-LSTM,25.3111677,51802.16015625,227.6008758544922,139.79287719726562
RNN,14.45493780000001,53823.2265625,231.9983367919922,143.336669921875
GRU,22.964455700000002,53550.8203125,231.41050720214844,141.21910095214844
