Model,RunTime(s),MSE,RMSE,MAE
LSTM,15.4462456,52103.8671875,228.26271057128906,139.8776092529297
LSTMsigmoid,14.773108200000003,53111.97265625,230.46034240722656,144.37168884277344
LSTMrelu,15.712204,79005.515625,281.0791931152344,171.98291015625
LSTMRMSprop,13.591403499999998,53455.02734375,231.20343017578125,140.46253967285156
LSTM256,17.128989200000007,51908.00390625,227.83328247070312,139.59170532226562
LSTM64,14.652314500000017,51348.390625,226.60183715820312,137.72024536132812
LSTM32,16.208009000000004,51371.390625,226.65257263183594,140.19715881347656
LSTM 2,23.890717199999983,56573.79296875,237.8524627685547,143.7187042236328
LSTM 3,28.82668860000001,61656.54296875,248.30735778808594,151.1664581298828
