Model,RunTime(s),MSE,RMSE,MAE
DNN,74.781002,24823.9375,157.55613708496094,80.88776397705078
CNN,110.423439,28463.923828125,168.71255493164062,83.73888397216797
LSTM,101.88500339999996,23156.00390625,152.1709747314453,78.73910522460938
CNN-LSTM,107.12309639999995,23763.966796875,154.15565490722656,77.41650390625
RNN,89.51770409999995,23485.6796875,153.25038146972656,79.59496307373047
GRU,128.24400319999995,23311.548828125,152.6811981201172,78.74525451660156
